"Country name","Ladder score",Happiness_Index
Finland,7.741,"Very Happy"
Denmark,7.583,"Very Happy"
Iceland,7.525,"Very Happy"
Sweden,7.344,"Very Happy"
Israel,7.341,"Very Happy"
Netherlands,7.319,"Very Happy"
Norway,7.302,"Very Happy"
Luxembourg,7.122,"Very Happy"
Switzerland,7.060,"Very Happy"
Australia,7.057,"Very Happy"
"New Zealand",7.029,"Very Happy"
"Costa Rica",6.955,"Very Happy"
Kuwait,6.951,"Very Happy"
Austria,6.905,"Very Happy"
Canada,6.900,"Very Happy"
Belgium,6.894,"Very Happy"
Ireland,6.838,"Very Happy"
Czechia,6.822,"Very Happy"
Lithuania,6.818,"Very Happy"
"United Kingdom",6.749,"Very Happy"
Slovenia,6.743,"Very Happy"
"United Arab Emirates",6.733,"Very Happy"
"United States",6.725,"Very Happy"
Germany,6.719,"Very Happy"
Mexico,6.678,"Very Happy"
Uruguay,6.611,"Very Happy"
France,6.609,"Very Happy"
"Saudi Arabia",6.594,"Very Happy"
Kosovo,6.561,"Very Happy"
Singapore,6.523,"Very Happy"
"Taiwan Province of China",6.503,"Very Happy"
Romania,6.491,"Very Happy"
"El Salvador",6.469,"Very Happy"
Estonia,6.448,"Very Happy"
Poland,6.442,"Very Happy"
Spain,6.421,"Very Happy"
Serbia,6.411,"Very Happy"
Chile,6.360,Happy
Panama,6.358,Happy
Malta,6.346,Happy
Italy,6.324,Happy
Guatemala,6.287,Happy
Nicaragua,6.284,Happy
Brazil,6.272,Happy
Slovakia,6.257,Happy
Latvia,6.234,Happy
Uzbekistan,6.195,Happy
Argentina,6.188,Happy
Kazakhstan,6.188,Happy
Cyprus,6.068,Happy
Japan,6.060,Happy
"South Korea",6.058,Happy
Philippines,6.048,Happy
Vietnam,6.043,Happy
Portugal,6.030,Happy
Hungary,6.017,Happy
Paraguay,5.977,Happy
Thailand,5.976,Happy
Malaysia,5.975,Happy
China,5.973,Happy
Honduras,5.968,Happy
Bahrain,5.959,Happy
Croatia,5.942,Happy
Greece,5.934,Happy
"Bosnia and Herzegovina",5.877,Happy
Libya,5.866,Happy
Jamaica,5.842,Happy
Peru,5.841,Happy
"Dominican Republic",5.823,Happy
Mauritius,5.816,Happy
Moldova,5.816,Happy
Russia,5.785,Happy
Bolivia,5.784,Happy
Ecuador,5.725,Happy
Kyrgyzstan,5.714,Happy
Montenegro,5.707,Happy
Mongolia,5.696,Happy
Colombia,5.695,Happy
Venezuela,5.607,Happy
Indonesia,5.568,Happy
Bulgaria,5.463,Sad
Armenia,5.455,Sad
"South Africa",5.422,Sad
"North Macedonia",5.369,Sad
Algeria,5.364,Sad
"Hong Kong S.A.R. of China",5.316,Sad
Albania,5.304,Sad
Tajikistan,5.281,Sad
"Congo (Brazzaville)",5.221,Sad
Mozambique,5.216,Sad
Georgia,5.185,Sad
Iraq,5.166,Sad
Nepal,5.158,Sad
Laos,5.139,Sad
Gabon,5.106,Sad
"Ivory Coast",5.080,Sad
Guinea,5.023,Sad
Turkiye,4.975,Sad
Senegal,4.969,Sad
Iran,4.923,Sad
Azerbaijan,4.893,Sad
Nigeria,4.881,Sad
"State of Palestine",4.879,Sad
Cameroon,4.874,Sad
Ukraine,4.873,Sad
Namibia,4.832,Sad
Morocco,4.795,Sad
Pakistan,4.657,Sad
Niger,4.556,Sad
"Burkina Faso",4.548,Sad
Mauritania,4.505,Sad
Gambia,4.485,Sad
Chad,4.471,Sad
Kenya,4.470,Sad
Tunisia,4.422,"Very Sad"
Benin,4.377,"Very Sad"
Uganda,4.372,"Very Sad"
Myanmar,4.354,"Very Sad"
Cambodia,4.341,"Very Sad"
Ghana,4.289,"Very Sad"
Liberia,4.269,"Very Sad"
Mali,4.232,"Very Sad"
Madagascar,4.228,"Very Sad"
Togo,4.214,"Very Sad"
Jordan,4.186,"Very Sad"
India,4.054,"Very Sad"
Egypt,3.977,"Very Sad"
"Sri Lanka",3.898,"Very Sad"
Bangladesh,3.886,"Very Sad"
Ethiopia,3.861,"Very Sad"
Tanzania,3.781,"Very Sad"
Comoros,3.566,"Very Sad"
Yemen,3.561,"Very Sad"
Zambia,3.502,"Very Sad"
Eswatini,3.502,"Very Sad"
Malawi,3.421,"Very Sad"
Botswana,3.383,"Very Sad"
Zimbabwe,3.341,"Very Sad"
"Congo (Kinshasa)",3.295,"Very Sad"
"Sierra Leone",3.245,"Very Sad"
Lesotho,3.186,"Very Sad"
Lebanon,2.707,"Very Sad"
Afghanistan,1.721,"Very Sad"
